fecha,anio,mes,periodo,concepto_codigo,concepto_descripcion,concepto_nivel,subsector,valor_millones_pesos,fuente_archivo
2020-02-01,2020,2,mensual,VI_INGRESOS_ANTES_FIGURAT,VI) INGRESOS ANTES DE FIGURAT.(I+IV),principal,inst_seg_social,174448.4,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,V_GASTOS_CAPITAL,V) GASTOS DE CAPITAL,principal,inst_seg_social,2.9,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,XIII_GASTOS_DESPUES_FIGURAT,XIII) GASTOS DESPUES DE FIGURAT.,principal,inst_seg_social,215308.19999999998,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,XII_GASTOS_PRIMARIOS_DESPUES_FIGURAT,XII) GASTOS PRIMARIOS DESPUES DE FIGURAT.,principal,inst_seg_social,215308.19999999998,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,XIV_RESULTADO_PRIMARIO,XIV) SUPERAVIT PRIMARIO  (XI-XII),principal,inst_seg_social,19538.00000000003,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,XI_INGRESOS_DESPUES_FIGURAT,XI) INGRESOS DESPUES DE FIGURAT.,principal,inst_seg_social,234846.2,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,XVI) INGRESOS EXTRAORDINARIOS (3),XVI) INGRESOS EXTRAORDINARIOS (3),principal,inst_seg_social,6842.3,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,XV_RESULTADO_FINANCIERO,XV) RESULTADO FINANCIERO  (XI-XIII),principal,inst_seg_social,19538.00000000003,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,X_GASTOS_FIGURATIVOS,X) GASTOS FIGURATIVOS,principal,inst_seg_social,25273.1,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,III_RESULTADO_ECONOMICO,III) RESULT.ECON.: AHORRO/DESAHORRO (I-II),principal,org_descentralizados,-14039.499999999996,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,II_GASTOS_CORRIENTES,II) GASTOS CORRIENTES,principal,org_descentralizados,22028.199999999997,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,IV_RECURSOS_CAPITAL,IV) RECURSOS DE CAPITAL,principal,org_descentralizados,3.900000000000034,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,IX_CONTRIBUCIONES_FIGURATIVAS,IX) CONTRIBUCIONES FIGURATIVAS,principal,org_descentralizados,20262.1,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,I_INGRESOS_CORRIENTES,I) INGRESOS CORRIENTES,principal,org_descentralizados,7988.7,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,VIII_RESULT_FINANCIERO_ANTES_FIGURAT,VIII) RESULT.FINANC.ANTES DE FIGURAT.(VI-VII),principal,org_descentralizados,-18528.699999999997,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,VII_GASTOS_ANTES_FIGURAT,VII) GASTOS ANTES DE FIGURAT.(II+V),principal,org_descentralizados,26521.299999999996,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,VI_INGRESOS_ANTES_FIGURAT,VI) INGRESOS ANTES DE FIGURAT.(I+IV),principal,org_descentralizados,7992.599999999999,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,V_GASTOS_CAPITAL,V) GASTOS DE CAPITAL,principal,org_descentralizados,4493.1,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,XIII_GASTOS_DESPUES_FIGURAT,XIII) GASTOS DESPUES DE FIGURAT.,principal,org_descentralizados,26568.699999999997,2020.02-aif-imig.xlsx
